model,history_steps,local_grid,structured_output,max_steps,maze,has_loop,has_invalid,has_fallback,loop_rate,invalid_rate,fallback_rate
phi3:mini,20,1,0,60,,1,1,1,0.133333,0.200000,0.366667
phi3:mini,0,1,0,80,,1,1,1,0.162500,0.125000,0.525000
phi3:mini,0,1,0,80,,1,1,1,0.187500,0.262500,0.412500
phi3:mini,0,1,0,80,,1,1,1,0.150000,0.262500,0.400000
phi3:mini,0,1,0,80,,1,1,1,0.112500,0.350000,0.325000
phi3:mini,0,1,0,80,,1,1,1,0.100000,0.450000,0.212500
phi3:mini,0,1,0,80,,1,1,1,0.100000,0.262500,0.375000
phi3:mini,0,1,0,80,,1,1,1,0.125000,0.237500,0.475000
phi3:mini,0,1,0,80,,1,1,1,0.150000,0.237500,0.475000
phi3:mini,0,1,0,80,,1,1,1,0.112500,0.325000,0.325000
phi3:mini,0,1,0,80,,1,1,1,0.175000,0.262500,0.400000
phi3:mini,5,1,0,80,,1,1,1,0.050000,0.387500,0.275000
phi3:mini,5,1,0,80,,1,1,1,0.137500,0.250000,0.287500
phi3:mini,5,1,0,80,,1,1,1,0.087500,0.325000,0.300000
phi3:mini,5,1,0,80,,1,1,1,0.125000,0.305556,0.291667
phi3:mini,5,1,0,80,,1,1,1,0.062500,0.387500,0.275000
phi3:mini,5,1,0,80,,1,1,1,0.112500,0.337500,0.300000
phi3:mini,5,1,0,80,,1,1,1,0.112500,0.287500,0.275000
phi3:mini,5,1,0,80,,1,1,1,0.062500,0.537500,0.225000
phi3:mini,5,1,0,80,,1,1,1,0.125000,0.225000,0.287500
phi3:mini,5,1,0,80,,1,1,1,0.100000,0.325000,0.300000
phi3:mini,10,1,0,80,,1,1,1,0.125000,0.262500,0.250000
phi3:mini,10,1,0,80,,1,1,1,0.125000,0.362500,0.250000
phi3:mini,10,1,0,80,,1,1,1,0.137500,0.287500,0.250000
phi3:mini,10,1,0,80,,1,1,1,0.112500,0.275000,0.287500
phi3:mini,10,1,0,80,,1,1,1,0.100000,0.375000,0.187500
phi3:mini,10,1,0,80,,1,1,1,0.062500,0.387500,0.337500
phi3:mini,10,1,0,80,,1,1,1,0.112500,0.312500,0.337500
phi3:mini,10,1,0,80,,1,1,1,0.137500,0.412500,0.250000
phi3:mini,10,1,0,80,,1,1,1,0.100000,0.350000,0.300000
