run_dir,model,history_steps,local_grid,structured_output,max_steps,maze,chars_mean,chars_max,words_mean,words_max
run_20260220_061922_10,phi3:mini,10,1,0,80,,1653.9125,1744,331.2875,350
run_20260220_061922_2,phi3:mini,10,1,0,80,,1653.9125,1744,330.9625,350
run_20260220_061922_3,phi3:mini,10,1,0,80,,1653.9125,1744,331.225,350
run_20260220_061922_4,phi3:mini,10,1,0,80,,1653.9125,1744,330.8625,350
run_20260220_061922_5,phi3:mini,10,1,0,80,,1653.9125,1744,330.5875,350
run_20260220_061922_6,phi3:mini,10,1,0,80,,1653.9125,1744,331.0625,350
run_20260220_061922_7,phi3:mini,10,1,0,80,,1653.9125,1744,331.2,350
run_20260220_061922_8,phi3:mini,10,1,0,80,,1653.9125,1744,330.675,350
run_20260220_061922_9,phi3:mini,10,1,0,80,,1653.9125,1744,330.575,350
run_20260220_070904_1,gpt-oss:20b,0,1,0,60,,3414.2127659574467,6381,699.4255319148937,1320
run_20260220_070904_10,gpt-oss:20b,0,1,0,60,,1415.125,2382,280.8125,483
run_20260220_070904_2,gpt-oss:20b,0,1,0,60,,2446.8125,4446,496.96875,915
run_20260220_070904_3,gpt-oss:20b,0,1,0,60,,4252.666666666667,8058,875.7833333333333,1673
run_20260220_070904_4,gpt-oss:20b,0,1,0,60,,2317.8333333333335,4188,469.6666666666667,861
run_20260220_070904_5,gpt-oss:20b,0,1,0,60,,2769.2702702702704,5091,564.1621621621622,1050
run_20260220_070904_6,gpt-oss:20b,0,1,0,60,,3607.7,6768,739.6,1401
run_20260220_070904_7,gpt-oss:20b,0,1,0,60,,2317.8333333333335,4188,469.8333333333333,861
run_20260220_070904_8,gpt-oss:20b,0,1,0,60,,2124.3703703703704,3801,429.1111111111111,780
run_20260220_070904_9,gpt-oss:20b,0,1,0,60,,4252.666666666667,8058,876.05,1672
run_20260220_080333_1,gpt-oss:20b,5,1,0,60,,1027.142857142857,1099,199.17857142857142,215
run_20260220_080333_10,gpt-oss:20b,5,1,0,60,,1031.9333333333334,1099,199.8,215
run_20260220_080333_2,gpt-oss:20b,5,1,0,60,,1065.4666666666667,1099,207.75,215
run_20260220_080333_3,gpt-oss:20b,5,1,0,60,,1027.142857142857,1099,198.89285714285714,215
run_20260220_080333_4,gpt-oss:20b,5,1,0,60,,1065.4666666666667,1099,207.83333333333334,215
run_20260220_080333_5,gpt-oss:20b,5,1,0,60,,1065.4666666666667,1099,207.1,215
run_20260220_080333_6,gpt-oss:20b,5,1,0,60,,1059.549019607843,1099,206.05882352941177,215
run_20260220_080333_7,gpt-oss:20b,5,1,0,60,,1065.4666666666667,1099,207.56666666666666,215
run_20260220_080333_8,gpt-oss:20b,5,1,0,60,,1021.6153846153846,1099,197.53846153846155,214
run_20260220_080333_9,gpt-oss:20b,5,1,0,60,,1065.4666666666667,1099,207.11666666666667,215
run_20260220_090652_1,gpt-oss:20b,10,1,0,60,,1602.686274509804,1744,319.05882352941177,349
run_20260220_090652_10,gpt-oss:20b,10,1,0,60,,1623.8833333333334,1744,323.48333333333335,350
run_20260220_090652_2,gpt-oss:20b,10,1,0,60,,1538.0857142857142,1744,305.7142857142857,350
run_20260220_090652_3,gpt-oss:20b,10,1,0,60,,1495.4827586206898,1744,296.9655172413793,348
run_20260220_090652_4,gpt-oss:20b,10,1,0,60,,1543.8055555555557,1744,307.3888888888889,350
run_20260220_090652_5,gpt-oss:20b,10,1,0,60,,1593.8541666666667,1744,317.6041666666667,350
run_20260220_090652_6,gpt-oss:20b,10,1,0,60,,1623.8833333333334,1744,323.3,350
run_20260220_090652_7,gpt-oss:20b,10,1,0,60,,1623.8833333333334,1744,323.56666666666666,350
run_20260220_090652_8,gpt-oss:20b,10,1,0,60,,1383.65,1743,273.9,348
run_20260220_090652_9,gpt-oss:20b,10,1,0,60,,1623.8833333333334,1744,324.8833333333333,350
run_20260220_101743_1,gpt-oss:20b,20,1,0,60,,2368.829268292683,3034,479.9268292682927,618
run_20260220_101743_10,gpt-oss:20b,20,1,0,60,,2124.9333333333334,3033,429.1,618
run_20260220_101743_2,gpt-oss:20b,20,1,0,60,,2441.1304347826085,3034,494.9130434782609,619
run_20260220_101743_3,gpt-oss:20b,20,1,0,60,,2579.4666666666667,3034,524.65,620
run_20260220_101743_4,gpt-oss:20b,20,1,0,60,,2579.4666666666667,3034,525.05,620
run_20260220_101743_5,gpt-oss:20b,20,1,0,60,,2499.2549019607845,3034,507.19607843137254,618
run_20260220_101743_6,gpt-oss:20b,20,1,0,60,,2334.7179487179487,3034,472.94871794871796,618
run_20260220_101743_7,gpt-oss:20b,20,1,0,60,,1985.4615384615386,3029,400.3076923076923,618
run_20260220_101743_8,gpt-oss:20b,20,1,0,60,,2024.148148148148,3030,408.1111111111111,618
run_20260220_101743_9,gpt-oss:20b,20,1,0,60,,1673.0,2898,334.95,591
run_20260220_111737_1,gpt-oss:20b,0,1,0,80,,5542.625,10638,1146.3125,2213
run_20260220_111737_10,gpt-oss:20b,0,1,0,80,,5542.625,10638,1146.275,2213
run_20260220_111737_2,gpt-oss:20b,0,1,0,80,,4768.64705882353,9090,983.8823529411765,1887
run_20260220_111737_3,gpt-oss:20b,0,1,0,80,,5349.12987012987,10251,1105.6753246753246,2130
run_20260220_111737_4,gpt-oss:20b,0,1,0,80,,5542.625,10638,1146.3625,2213
run_20260220_111737_5,gpt-oss:20b,0,1,0,80,,5542.625,10638,1146.4,2213
run_20260220_111737_6,gpt-oss:20b,0,1,0,80,,5542.625,10638,1146.3125,2213
run_20260220_111737_7,gpt-oss:20b,0,1,0,80,,4768.64705882353,9090,984.0,1887
run_20260220_111737_8,gpt-oss:20b,0,1,0,80,,5542.625,10638,1146.25,2213
run_20260220_111737_9,gpt-oss:20b,0,1,0,80,,5542.625,10638,1146.3,2213
run_20260220_130805_1,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.725,215
run_20260220_130805_10,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.75,215
run_20260220_130805_2,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.7125,215
run_20260220_130805_3,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.825,215
run_20260220_130805_4,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.8375,215
run_20260220_130805_5,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.8375,215
run_20260220_130805_6,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.8,215
run_20260220_130805_7,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.8125,215
run_20260220_130805_8,gpt-oss:20b,5,1,0,80,,1073.85,1099,209.8375,215
run_20260220_130805_9,gpt-oss:20b,5,1,0,80,,1066.016393442623,1099,208.04918032786884,215
run_20260220_150257_1,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3,350
run_20260220_150257_10,gpt-oss:20b,10,1,0,80,,1653.9125,1744,330.8375,350
run_20260220_150257_2,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.1,350
run_20260220_150257_3,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3,350
run_20260220_150257_4,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3125,350
run_20260220_150257_5,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.325,350
run_20260220_150257_6,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.275,350
run_20260220_150257_7,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.225,350
run_20260220_150257_8,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3375,350
run_20260220_150257_9,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3125,350
run_20260220_173409_1,gpt-oss:20b,20,1,0,80,,2254.8,3034,457.4,620
run_20260220_173409_10,gpt-oss:20b,20,1,0,80,,2693.1,3034,548.9125,620
run_20260220_173409_2,gpt-oss:20b,20,1,0,80,,2586.9180327868853,3034,526.672131147541,620
run_20260220_173409_3,gpt-oss:20b,20,1,0,80,,2693.1,3034,549.025,620
run_20260220_173409_4,gpt-oss:20b,20,1,0,80,,2601.1111111111113,3034,529.7301587301587,620
run_20260220_173409_5,gpt-oss:20b,20,1,0,80,,2693.1,3034,549.025,620
run_20260220_173409_6,gpt-oss:20b,20,1,0,80,,2334.7179487179487,3034,473.87179487179486,620
run_20260220_173409_7,gpt-oss:20b,20,1,0,80,,2693.1,3034,548.8625,620
run_20260220_173409_8,gpt-oss:20b,20,1,0,80,,2693.1,3034,548.8625,620
run_20260220_173409_9,gpt-oss:20b,20,1,0,80,,2693.1,3034,548.8375,620
run_20260220_192832_1,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3125,350
run_20260220_192832_10,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3125,350
run_20260220_192832_2,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.325,350
run_20260220_192832_3,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.275,350
run_20260220_192832_4,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.2875,350
run_20260220_192832_5,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3375,350
run_20260220_192832_6,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3375,350
run_20260220_192832_7,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3375,350
run_20260220_192832_8,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.3,350
run_20260220_192832_9,gpt-oss:20b,10,1,0,80,,1653.9125,1744,331.325,350
