run_id,model,history_steps,local_grid,structured_output,max_steps,reached_goal,final_distance,min_distance,invalid_move_rate,loop_rate,fallback_rate
run_20260219_231138_3,llama3.2:3b,10,True,False,80,False,15,10,0.1375,0.1375,0.7125
run_20260219_231138_4,llama3.2:3b,10,True,False,80,False,7,5,0.1125,0.1625,0.775
run_20260219_231138_5,llama3.2:3b,10,True,False,80,False,10,7,0.1,0.1875,0.7375
run_20260219_231138_6,llama3.2:3b,10,True,False,80,False,,9,0.075,0.125,0.85
run_20260219_231138_7,llama3.2:3b,10,True,False,80,False,13,10,0.1875,0.1125,0.7
run_20260219_231138_8,llama3.2:3b,10,True,False,80,False,14,13,0.125,0.0625,0.8
run_20260219_231138_9,llama3.2:3b,10,True,False,80,False,8,7,0.125,0.125,0.7625
run_20260219_233338_1,phi3:mini,0,True,False,60,False,1,1,0.18333333333333332,0.18333333333333332,0.45
run_20260219_233338_10,phi3:mini,0,True,False,60,False,5,3,0.18333333333333332,0.13333333333333333,0.45
run_20260219_233338_2,phi3:mini,0,True,False,60,False,10,7,0.16666666666666666,0.15,0.43333333333333335
run_20260219_233338_3,phi3:mini,0,True,False,60,True,0,0,0.20833333333333334,0.16666666666666666,0.3958333333333333
run_20260219_233338_4,phi3:mini,0,True,False,60,False,6,6,0.26666666666666666,0.1,0.45
run_20260219_233338_5,phi3:mini,0,True,False,60,False,11,2,0.15,0.16666666666666666,0.55
run_20260219_233338_6,phi3:mini,0,True,False,60,False,3,3,0.38333333333333336,0.15,0.35
run_20260219_233338_7,phi3:mini,0,True,False,60,True,0,0,0.2,0.1,0.5333333333333333
run_20260219_233338_8,phi3:mini,0,True,False,60,False,1,1,0.18333333333333332,0.13333333333333333,0.43333333333333335
run_20260219_233338_9,phi3:mini,0,True,False,60,False,7,4,0.18333333333333332,0.11666666666666667,0.4666666666666667
run_20260220_002435_1,phi3:mini,5,True,False,60,False,3,2,0.18333333333333332,0.15,0.4
run_20260220_002435_10,phi3:mini,5,True,False,60,True,0,0,0.2222222222222222,0.05555555555555555,0.4444444444444444
run_20260220_002435_2,phi3:mini,5,True,False,60,False,8,3,0.26666666666666666,0.15,0.31666666666666665
